ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Transcription,AlternativeValue,AlternativeTranscription
voro1241-1-100-1,,voro1241,1-100,ilm;maailm;ilmamaa,ilm,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-100-2,,voro1241,1-100,ilm;maailm;ilmamaa,maailm,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-100-3,,voro1241,1-100,ilm;maailm;ilmamaa,ilmamaa,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-210-1,,voro1241,1-210,maa,maa,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-212-1,,voro1241,1-212,maa;maakammaŕ,maa,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-212-2,,voro1241,1-212,maa;maakammaŕ,maakammaŕ,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-213-1,,voro1241,1-213,tolm,tolm,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-214-1,,voro1241,1-214,muda,muda,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-215-1,,voro1241,1-215,liiv;sõmmõŕ,liiv,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-215-2,,voro1241,1-215,liiv;sõmmõŕ,sõmmõŕ,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-220-1,,voro1241,1-220,mägi,mägi,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-222-1,,voro1241,1-222,müür;müürümägi;sain;kivi,müür,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-222-2,,voro1241,1-222,müür;müürümägi;sain;kivi,müürümägi,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-222-3,,voro1241,1-222,müür;müürümägi;sain;kivi,sain,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-222-4,,voro1241,1-222,müür;müürümägi;sain;kivi,kivi,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-230-1,,voro1241,1-230,nurḿ,nurḿ,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-240-1,,voro1241,1-240,org,org,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-250-1,,voro1241,1-250,saaŕ,saaŕ,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-260-1,,voro1241,1-260,maisõmaa;suuŕmaa;maa;mannõŕ,maisõmaa,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-260-2,,voro1241,1-260,maisõmaa;suuŕmaa;maa;mannõŕ,suuŕmaa,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-260-3,,voro1241,1-260,maisõmaa;suuŕmaa;maa;mannõŕ,maa,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-260-4,,voro1241,1-260,maisõmaa;suuŕmaa;maa;mannõŕ,mannõŕ,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-270-1,,voro1241,1-270,perv́;viiviiŕ;maaviiŕ;rand,perv́,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-270-2,,voro1241,1-270,perv́;viiviiŕ;maaviiŕ;rand,viiviiŕ,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-270-3,,voro1241,1-270,perv́;viiviiŕ;maaviiŕ;rand,maaviiŕ,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-270-4,,voro1241,1-270,perv́;viiviiŕ;maaviiŕ;rand,rand,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-280-1,,voro1241,1-280,kuup;uus;tśopp,kuup,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-280-2,,voro1241,1-280,kuup;uus;tśopp,uus,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-280-3,,voro1241,1-280,kuup;uus;tśopp,tśopp,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-310-1,,voro1241,1-310,vesi;vet́o,vesi,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-310-2,,voro1241,1-310,vesi;vet́o,vet́o,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-320-1,,voro1241,1-320,meri,meri,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-322-1,,voro1241,1-322,rahulinõ;rahunõ;tasalik;rahulik;vaganõ,rahulinõ,,,cosgrove2020,,,,,StandardOrth,,
voro1241-1-322-2,,voro1241,1-322,rahulinõ;rahunõ;tasalik;rahulik;vaganõ,rahunõ,,,cosgrove2020,,,,,StandardOrth,,
